nbProcess=4;
nbJobs =8;//12
nbMchs =8;
Process1=[4,4,4,4,4,4,4,4];
pidle=[1,2,3,1,2,3,1,2];
EnergyS=[10,30,60,10,30,60,10,20];
TB=[10,15,20,10,15,20,10,20];
x=
[
[	[1 1 0 0] [1 0 0 1] [1 0 1 0] [1 1 1 0] [1 1 0 1] [1 1 1 0] [1 0 0 0] [1 1 1 1]		]
[	[1 0 1 0] [1 1 1 1] [0 1 1 0] [1 1 1 0] [1 0 1 1] [1 0 1 0] [1 1 1 0] [1 1 1 0]		]
[	[1 1 0 0] [1 1 0 1] [0 1 1 0] [1 1 1 0] [1 1 1 0] [1 1 1 0] [1 0 1 0] [1 1 0 1]		]
[	[1 1 1 0] [1 1 1 1] [1 1 1 0] [1 1 1 0] [1 1 1 1] [1 1 1 0] [1 1 1 0] [1 1 1 1]		]
[	[1 1 1 0] [1 1 1 1] [1 1 0 0] [1 1 1 0] [1 1 1 1] [1 1 1 0] [1 1 1 0] [0 1 1 1]		]
[	[0 1 1 0] [0 1 1 1] [1 1 1 0] [1 1 1 0] [0 1 1 1] [1 1 0 0] [0 1 1 0] [1 0 1 1]		]
[	[1 1 1 0] [1 1 1 0] [1 1 0 0] [1 1 1 0] [1 1 1 1] [0 1 1 0] [1 1 0 0] [0 1 1 1]		]
[	[1 1 1 0] [0 1 1 0] [1 0 1 0] [1 1 1 0] [0 0 0 1] [1 1 0 0] [0 1 1 0] [1 0 1 0]		]
];

ptime =
[
[	[5 10 0 0] [5 0 0 10] [10 0 1 0] [3 12 4 0] [3 10 0 11] [6 11 10 0] [5 0 0 0] [2 7 9 9]		]
[	[3 0 10 0] [7 8 10 8] [0 10 4 0] [1 11 6 0] [6 0 9 9] [7 0 5 0] [4 9 8 0] [8 4 9 0]		]
[	[5 5 0 0] [3 5 0 9] [0 6 5 0] [6 7 2 0] [7 7 8 0] [1 9 9 0] [2 0 9 0] [5 7 0 3]		]
[	[3 8 5 0] [9 2 5 6] [7 4 6 0] [5 8 10 0] [8 4 7 6] [4 9 10 0] [6 9 3 0] [9 8 8 7]		]
[	[3 3 6 0] [8 6 6 4] [6 8 0 0] [9 10 3 0] [9 9 4 7] [6 9 11 0] [7 11 8 0] [0 9 5 1]		]
[	[0 9 2 0] [0 7 4 7] [5 9 10 0] [7 5 9 0] [0 8 2 5] [9 7 0 0] [0 9 6 0] [4 0 6 5]		]
[	[10 9 4 0] [9 10 1 0] [2 10 0 0] [8 6 5 0] [10 6 7 3] [0 6 10 0] [10 10 0 0] [0 10 7 8]		]
[	[9 6 5 0] [0 9 7 0] [4 0 7 0] [4 9 7 0] [0 0 0 6] [10 4 0 0] [0 5 10 0] [10 0 1 0]		]
];
power1=
[
[	[4.5 4.4 0 0] [3.1 0 0 3.3] [3.9 0 4.5 0] [3.2 4 4.7 0] [4.5 4.5 0 4] [3.9 4.3 3.1 0] [4.5 0 0 0] [4.8 3.6 3.2 3.8]	]
[	[3.4 0 3.9 0] [3.4 4.9 3.1 3.6] [0 4.1 3.2 0] [4 3.2 3.9 0] [3.5 0 3.2 3.7] [3.9 0 4.3 0] [3.8 3.8 3.5 0] [4.9 4.8 3 0]	]
[	[4.6 3 0 0] [4.3 4.3 0 3.2] [0 4.3 3.4 0] [3.6 4.8 4.3 0] [4.2 4.4 3.6 0] [3.5 4.7 3.9 0] [5 0 3.3 0] [4.9 3.1 0 4.7]	]
[	[4.5 4.7 3.6 0] [4.5 4.9 4 4.3] [4 4.1 4.5 0] [3.4 4.1 3.7 0] [4.2 4.7 3.7 4.2] [4.1 5 3.3 0] [4.6 3.6 3.9 0] [4.5 3.1 4.1 3.1]	]
[	[3.6 3.5 3.7 0] [4.9 3.2 4.6 4.6] [3.7 3.8 0 0] [4.1 4.6 4.2 0] [4.2 4.2 5 5] [3.1 4.8 4 0] [3.6 3.4 3 0] [0 3.5 5 3.2]	]
[	[0 3.1 3.7 0] [0 3 4.4 4.2] [4.5 4 3.8 0] [4 4.6 4.3 0] [0 4.8 4.5 5] [4.8 4.6 0 0] [0 5 4.8 0] [5 0 3.6 3.4]	]
[	[3.2 3.4 4.4 0] [4.5 4.7 5 0] [4 4.4 0 0] [3.9 4 3.7 0] [4.1 3.1 4.4 4.8] [0 3.2 3.3 0] [5 4.3 0 0] [0 3 3 4.2]	]
[	[3.8 4.4 3 0] [0 4.3 3.7 0] [3.7 0 4.4 0] [4.6 4.1 3 0] [0 0 0 3.4] [3.2 4 0 0] [0 3.5 4.5 0] [3.8 0 5 0]	]
];
